Category,Q3_2023_Trend,Q4_2023_Trend,Q1_2024_Trend,Q2_2024_Trend
Electronics,Increasing,Stable,Decreasing,Increasing
Tools,Increasing,Stable,Increasing,Stable
Apparel,Decreasing,Decreasing,Stable,Increasing
Bags,Stable,Increasing,Increasing,Stable
Home Appliances,Increasing,Stable,Decreasing,Increasing
Footwear,Stable,Increasing,Increasing,Stable
Home & Garden,Increasing,Stable,Decreasing,Increasing
Sports & Fitness,Stable,Increasing,Increasing,Stable
Health & Beauty,Increasing,Stable,Decreasing,Increasing
Home Office,Stable,Increasing,Increasing,Stable
Luggage,Increasing,Stable,Decreasing,Increasing
Clothing,Decreasing,Decreasing,Stable,Increasing
Toys,Stable,Increasing,Increasing,Stable
Kitchenware,Increasing,Stable,Decreasing,Increasing
Outdoor Gear,Stable,Increasing,Increasing,Stable
Automotive,Increasing,Stable,Decreasing,Increasing
Furniture,Stable,Increasing,Increasing,Stable
Office Supplies,Increasing,Stable,Decreasing,Increasing
Jewelry,Stable,Increasing,Increasing,Stable
Watches,Increasing,Stable,Decreasing,Increasing
Sporting Goods,Stable,Increasing,Increasing,Stable
Beauty & Cosmetics,Increasing,Stable,Decreasing,Increasing
Stationery,Increasing,Stable,Decreasing,Increasing
Musical Instruments,Stable,Increasing,Increasing,Stable
Accessories,Decreasing,Decreasing,Stable,Increasing
Baby Products,Increasing,Stable,Decreasing,Increasing
Hobbies & Crafts,Stable,Increasing,Increasing,Stable
Grocery,Increasing,Stable,Decreasing,Increasing
Garden Supplies,Stable,Increasing,Increasing,Stable
Books,Decreasing,Decreasing,Stable,Increasing
Computers & Electronics,Increasing,Stable,Decreasing,Increasing
Hardware,Stable,Increasing,Increasing,Stable
Lighting,Increasing,Stable,Decreasing,Increasing
Home Decor,Stable,Increasing,Increasing,Stable
School Supplies,Increasing,Stable,Decreasing,Increasing
Gifts & Cards,Stable,Increasing,Increasing,Stable
Outdoor Living,Increasing,Stable,Decreasing,Increasing
Musical Equipment,Stable,Increasing,Increasing,Stable
Appliances,Increasing,Stable,Decreasing,Increasing
Bedding & Bath,Stable,Increasing,Increasing,Stable
Kitchen Gadgets,Increasing,Stable,Decreasing,Increasing
Fitness Equipment,Stable,Increasing,Increasing,Stable
Personal Care,Increasing,Stable,Decreasing,Increasing
Tools & Hardware,Stable,Increasing,Increasing,Stable
Party Supplies,Decreasing,Decreasing,Stable,Increasing
Automotive Parts,Increasing,Stable,Decreasing,Increasing
Sewing & Crafts,Stable,Increasing,Increasing,Stable
Home Improvement,Increasing,Stable,Decreasing,Increasing
Outdoor Recreation,Stable,Increasing,Increasing,Stable
Pet Supplies,Increasing,Stable,Decreasing,Increasing
Office Equipment,Stable,Increasing,Increasing,Stable
Toys & Games,Increasing,Stable,Decreasing,Increasing
Eyewear,Stable,Increasing,Increasing,Stable
Storage & Organization,Increasing,Stable,Decreasing,Increasing
Cleaning Supplies,Stable,Increasing,Increasing,Stable
Home Security,Increasing,Stable,Decreasing,Increasing
Lawn & Garden,Stable,Increasing,Increasing,Stable
Cameras & Photography,Increasing,Stable,Decreasing,Increasing
Health Supplements,Stable,Increasing,Increasing,Stable
Electronics,Increasing,Stable,Decreasing,Increasing
Tools,Increasing,Stable,Increasing,Stable
Apparel,Decreasing,Decreasing,Stable,Increasing
Bags,Stable,Increasing,Increasing,Stable
Home Appliances,Increasing,Stable,Decreasing,Increasing
Footwear,Stable,Increasing,Increasing,Stable
Home & Garden,Increasing,Stable,Decreasing,Increasing
Sports & Fitness,Stable,Increasing,Increasing,Stable
Health & Beauty,Increasing,Stable,Decreasing,Increasing
Home Office,Stable,Increasing,Increasing,Stable
Luggage,Increasing,Stable,Decreasing,Increasing
Clothing,Decreasing,Decreasing,Stable,Increasing
Toys,Stable,Increasing,Increasing,Stable
Kitchenware,Increasing,Stable,Decreasing,Increasing
Outdoor Gear,Stable,Increasing,Increasing,Stable
Automotive,Increasing,Stable,Decreasing,Increasing
Furniture,Stable,Increasing,Increasing,Stable
Office Supplies,Increasing,Stable,Decreasing,Increasing
Jewelry,Stable,Increasing,Increasing,Stable
Watches,Increasing,Stable,Decreasing,Increasing
Sporting Goods,Stable,Increasing,Increasing,Stable
Beauty & Cosmetics,Increasing,Stable,Decreasing,Increasing
Stationery,Increasing,Stable,Decreasing,Increasing
Musical Instruments,Stable,Increasing,Increasing,Stable
Accessories,Decreasing,Decreasing,Stable,Increasing
Baby Products,Increasing,Stable,Decreasing,Increasing
Hobbies & Crafts,Stable,Increasing,Increasing,Stable
Grocery,Increasing,Stable,Decreasing,Increasing
Garden Supplies,Stable,Increasing,Increasing,Stable
Books,Decreasing,Decreasing,Stable,Increasing
Computers & Electronics,Increasing,Stable,Decreasing,Increasing
Hardware,Stable,Increasing,Increasing,Stable
Lighting,Increasing,Stable,Decreasing,Increasing
Home Decor,Stable,Increasing,Increasing,Stable
School Supplies,Increasing,Stable,Decreasing,Increasing
Gifts & Cards,Stable,Increasing,Increasing,Stable
Outdoor Living,Increasing,Stable,Decreasing,Increasing
Musical Equipment,Stable,Increasing,Increasing,Stable
Appliances,Increasing,Stable,Decreasing,Increasing
Bedding & Bath,Stable,Increasing,Increasing,Stable
Kitchen Gadgets,Increasing,Stable,Decreasing,Increasing