WebsiteAccessID,CustomerID,AccessDate,PageViews,UniqueVisitors,AvgTimeOnSite,BounceRate
1,1,2023-04-05,12,8,00:02:15,35%
2,2,2023-04-06,18,11,00:03:22,28%
3,3,2023-04-07,25,15,00:04:10,22%
4,4,2023-04-08,30,18,00:05:01,19%
5,5,2023-04-09,22,13,00:03:45,26%
6,6,2023-04-10,16,9,00:02:38,33%
7,7,2023-04-11,21,12,00:03:54,24%
8,8,2023-04-12,28,16,00:04:32,20%
9,9,2023-04-13,19,11,00:03:18,27%
10,10,2023-04-14,23,14,00:03:58,23%
11,11,2023-04-15,14,8,00:02:22,34%
12,12,2023-04-16,27,15,00:04:18,21%
13,13,2023-04-17,20,12,00:03:26,26%
14,14,2023-04-18,17,10,00:02:45,32%
15,15,2023-04-19,24,14,00:04:04,23%
16,16,2023-04-20,31,19,00:05:12,18%
17,17,2023-04-21,22,13,00:03:51,25%
18,18,2023-04-22,18,11,00:03:05,29%
19,19,2023-04-23,26,15,00:04:24,21%
20,20,2023-04-24,29,17,00:04:45,19%
21,21,2023-04-25,15,9,00:02:28,33%
22,22,2023-04-26,21,12,00:03:37,25%
23,23,2023-04-27,28,16,00:04:39,20%
24,24,2023-04-28,19,11,00:03:14,27%
25,25,2023-04-29,23,14,00:03:52,23%
26,26,2023-04-30,14,8,00:02:18,34%
27,27,2023-05-01,27,15,00:04:22,21%
28,28,2023-05-02,20,12,00:03:32,26%
29,29,2023-05-03,17,10,00:02:51,31%
30,30,2023-05-04,24,14,00:04:08,23%
31,31,2023-05-05,32,20,00:05:23,17%
32,32,2023-05-06,23,14,00:03:58,23%
33,33,2023-05-07,19,11,00:03:21,27%
34,34,2023-05-08,26,15,00:04:29,21%
35,35,2023-05-09,30,18,00:04:58,19%
36,36,2023-05-10,16,10,00:02:34,32%
37,37,2023-05-11,22,13,00:03:47,25%
38,38,2023-05-12,29,17,00:04:50,19%
39,39,2023-05-13,21,12,00:03:42,24%
40,40,2023-05-14,24,14,00:04:03,23%
41,41,2023-05-15,15,9,00:02:22,34%
42,42,2023-05-16,28,16,00:04:34,20%
43,43,2023-05-17,20,12,00:03:28,26%
44,44,2023-05-18,18,11,00:02:57,30%
45,45,2023-05-19,25,15,00:04:16,22%
46,46,2023-05-20,33,20,00:05:30,16%
47,47,2023-05-21,24,14,00:04:05,23%
48,48,2023-05-22,20,12,00:03:35,25%
49,49,2023-05-23,27,15,00:04:27,21%
50,50,2023-05-24,31,19,00:05:04,18%
51,51,2023-05-25,22,13,00:03:52,24%
52,52,2023-05-26,19,11,00:03:15,27%
53,53,2023-05-27,26,15,00:04:22,21%
54,54,2023-05-28,29,17,00:04:41,19%
55,55,2023-05-29,17,10,00:02:46,32%
56,56,2023-05-30,23,14,00:03:59,23%
57,57,2023-05-31,22,13,00:03:43,25%
58,58,2023-06-01,30,18,00:05:01,18%
59,59,2023-06-02,21,12,00:03:36,24%
60,60,2023-06-03,25,15,00:04:10,22%
61,61,2023-06-04,16,9,00:02:28,33%
62,62,2023-06-05,27,15,00:04:29,21%
63,63,2023-06-06,20,12,00:03:23,26%
64,64,2023-06-07,19,11,00:03:02,29%
65,65,2023-06-08,24,14,00:04:01,23%
66,66,2023-06-09,32,20,00:05:17,17%
67,67,2023-06-10,23,14,00:03:54,24%
68,68,2023-06-11,21,12,00:03:41,25%
69,69,2023-06-12,27,15,00:04:24,21%
70,70,2023-06-13,30,18,00:04:53,19%
71,71,2023-06-14,18,11,00:03:09,28%
72,72,2023-06-15,23,14,00:03:55,23%
73,73,2023-06-16,26,15,00:04:18,21%
74,74,2023-06-17,21,12,00:03:48,24%
75,75,2023-06-18,32,20,00:05:22,17%
76,76,2023-06-19,17,10,00:02:39,32%
77,77,2023-06-20,24,14,00:04:07,23%
78,78,2023-06-21,22,13,00:03:39,25%
79,79,2023-06-22,29,17,00:04:47,19%
80,80,2023-06-23,20,12,00:03:31,26%
81,81,2023-06-24,26,15,00:04:14,22%
82,82,2023-06-25,18,11,00:03:00,29%
83,83,2023-06-26,23,14,00:03:51,24%
84,84,2023-06-27,21,12,00:03:45,25%
85,85,2023-06-28,27,15,00:04:31,21%
86,86,2023-06-29,30,18,00:04:59,18%
87,87,2023-06-30,19,11,00:03:18,27%
88,88,2023-07-01,24,14,00:04:02,23%
89,89,2023-07-02,22,13,00:03:44,24%
90,90,2023-07-03,28,16,00:04:36,20%
91,91,2024-06-05,21,12,"00:03:20",14%
92,92,2024-06-06,18,9,"00:02:25",23%
93,93,2024-06-07,23,14,"00:03:35",12%
94,94,2024-06-08,15,7,"00:01:55",27%
95,95,2024-06-09,20,11,"00:02:50",19%
96,96,2024-06-10,17,8,"00:02:10",25%
97,97,2024-06-11,22,13,"00:03:25",14%
98,98,2024-06-12,19,10,"00:02:30",22%
99,99,2024-06-01,24,15,"00:03:40",12%
100,100,2024-06-02,16,7,"00:02:00",26%
101,101,2024-06-03,21,12,"00:03:10",16%
102,102,2024-06-04,18,9,"00:02:20",23%
103,103,2024-06-05,23,14,"00:03:30",13%
104,104,2024-06-06,15,6,"00:01:45",28%
105,105,2024-06-07,20,11,"00:02:45",20%
106,106,2024-06-08,17,8,"00:02:05",25%
107,107,2024-06-09,22,13,"00:03:20",14%
108,108,2024-06-10,19,10,"00:02:35",21%
109,109,2024-06-11,24,15,"00:03:35",12%
110,110,2024-06-12,16,7,"00:01:55",27%
111,111,2023-09-18,33,28,00:03:05,26%
112,112,2023-09-19,23,20,00:02:20,38%
113,113,2023-09-20,29,24,00:02:55,31%
114,114,2023-09-21,21,18,00:02:05,40%
115,115,2023-09-22,37,31,00:03:25,22%
116,116,2023-09-23,27,23,00:02:45,34%
117,117,2023-09-24,25,21,00:02:30,36%
118,118,2023-09-25,30,25,00:02:55,29%
119,119,2023-09-26,22,19,00:02:15,39%
120,120,2023-09-27,35,29,00:03:15,24%
121,121,2023-09-28,26,22,00:02:40,35%
122,122,2023-09-29,19,16,00:01:50,43%
123,123,2023-09-30,33,28,00:03:05,26%
124,124,2023-10-01,23,20,00:02:20,38%
125,125,2023-10-02,29,24,00:02:55,31%
126,126,2023-10-03,21,18,00:02:05,40%
127,127,2023-10-04,37,31,00:03:25,22%
128,128,2023-10-05,27,23,00:02:45,34%
129,129,2023-10-06,25,21,00:02:30,36%
130,130,2023-10-07,30,25,00:02:55,29%
131,131,2023-10-08,22,19,00:02:15,39%
132,132,2023-10-09,35,29,00:03:15,24%
133,133,2023-10-10,26,22,00:02:40,35%
134,134,2023-10-11,19,16,00:01:50,43%
135,135,2023-10-12,33,28,00:03:05,26%
136,136,2023-10-13,23,20,00:02:20,38%
137,137,2023-10-14,29,24,00:02:55,31%
138,138,2023-10-15,21,18,00:02:05,40%
139,139,2023-10-16,37,31,00:03:25,22%
140,140,2023-10-17,27,23,00:02:45,34%
141,141,2023-10-18,25,21,00:02:30,36%
142,142,2023-10-19,30,25,00:02:55,29%
143,143,2023-10-20,22,19,00:02:15,39%
144,144,2023-10-21,35,29,00:03:15,24%
145,145,2023-10-22,26,22,00:02:40,35%
146,146,2023-10-23,19,16,00:01:50,43%
147,147,2023-10-24,33,28,00:03:05,26%
148,148,2023-10-25,23,20,00:02:20,38%
149,149,2023-10-26,29,24,00:02:55,31%
150,150,2023-10-27,21,18,00:02:05,40%
151,151,2023-10-28,37,31,00:03:25,22%
152,152,2023-10-29,27,23,00:02:45,34%
153,153,2023-10-30,25,21,00:02:30,36%
154,154,2023-10-31,30,25,00:02:55,29%
155,155,2023-11-01,22,19,00:02:15,39%
156,156,2023-11-02,35,29,00:03:15,24%
157,157,2023-11-03,26,22,00:02:40,35%
158,158,2023-11-04,19,16,00:01:50,43%
159,159,2023-11-05,33,28,00:03:05,26%
160,160,2023-11-06,23,20,00:02:20,38%
161,161,2023-11-07,29,24,00:02:55,31%
162,162,2023-11-08,21,18,00:02:05,40%
163,163,2023-11-09,37,31,00:03:25,22%
164,164,2023-11-10,27,23,00:02:45,34%
165,165,2023-11-11,25,21,00:02:30,36%
166,166,2023-11-12,30,25,00:02:55,29%
167,167,2023-11-13,22,19,00:02:15,39%
168,168,2023-11-14,35,29,00:03:15,24%
169,169,2023-11-15,26,22,00:02:40,35%
170,170,2023-11-16,19,16,00:01:50,43%
171,171,2023-11-17,33,28,00:03:05,26%
172,172,2023-11-18,23,20,00:02:20,38%
173,173,2023-11-19,29,24,00:02:55,31%
174,174,2023-11-20,21,18,00:02:05,40%
175,175,2023-11-21,37,31,00:03:25,22%
176,176,2023-11-22,27,23,00:02:45,34%
177,177,2023-11-23,25,21,00:02:30,36%
178,178,2023-11-24,30,25,00:02:55,29%
179,179,2023-11-25,22,19,00:02:15,39%
180,180,2023-11-26,35,29,00:03:15,24%
181,181,2023-11-27,26,22,00:02:40,35%
182,182,2023-11-28,19,16,00:01:50,43%
183,183,2023-11-29,33,28,00:03:05,26%
184,184,2023-11-30,23,20,00:02:20,38%
185,185,2023-12-01,29,24,00:02:55,31%
186,186,2023-12-02,21,18,00:02:05,40%
187,187,2023-12-03,37,31,00:03:25,22%
188,188,2023-12-04,27,23,00:02:45,34%
189,189,2023-12-05,25,21,00:02:30,36%
190,190,2023-12-06,30,25,00:02:55,29%
191,191,2023-12-07,22,19,00:02:15,39%
192,192,2023-12-08,35,29,00:03:15,24%
193,193,2023-12-09,26,22,00:02:40,35%
194,194,2023-12-10,19,16,00:01:50,43%
195,195,2023-12-11,33,28,00:03:05,26%
196,196,2023-12-12,23,20,00:02:20,38%
197,197,2023-12-13,29,24,00:02:55,31%
198,198,2023-12-14,21,18,00:02:05,40%
199,199,2023-12-15,37,31,00:03:25,22%
200,200,2023-12-16,27,23,00:02:45,34%